Sample,Project
PD45799b_lo0032,2679
PD45799b_lo0033,2679
PD45799b_lo0034,2679
PD45799b_lo0035,2679
PD45799b_lo0036,2679
PD45799b_lo0038,2679
PD45799b_lo0039,2679
PD45799b_lo0042,2679
PD45799b_lo0043,2679
PD45799b_lo0045,2679
PD45799b_lo0047,2679
PD45799b_lo0048,2679
PD45799b_lo0049,2679
PD45799b_lo0050,2679
PD45799b_lo0051,2679
PD45799b_lo0052,2679
PD45799b_lo0055,2679
PD45799b_lo0056,2679
PD45799b_lo0058,2679
PD45799b_lo0059,2679
PD45799b_lo0060,2679
PD45799b_lo0062,2679
PD45799b_lo0063,2679
PD45799b_lo0065,2679
PD45799b_lo0066,2679
PD45799b_lo0067,2679
PD45799b_lo0068,2679
PD45799b_lo0069,2679
PD45799b_lo0070,2679
PD45799b_lo0071,2679
PD45799b_lo0072,2679
PD45799b_lo0073,2679
PD45799b_lo0074,2679
PD45799b_lo0075,2679
PD45799b_lo0076,2679
PD45799b_lo0077,2679
PD45799b_lo0078,2679
PD45799b_lo0079,2679
PD45799b_lo0080,2679
PD45799b_lo0082,2679
PD45799b_lo0083,2679
PD45799b_lo0085,2679
PD45799b_lo0087,2679
PD45799b_lo0088,2679
PD45799b_lo0089,2679
PD45799b_lo0090,2679
PD45799b_lo0091,2679
PD45799b_lo0094,2679
PD45799b_lo0096,2679
PD45799b_lo0097,2679
PD45799b_lo0098,2679
PD45799b_lo0099,2679
PD45799b_lo0102,2679
PD45799b_lo0103,2679
PD45799b_lo0104,2679
PD45799b_lo0106,2679
PD45799b_lo0109,2679
PD45799b_lo0110,2679
PD45799b_lo0111,2679
PD45799b_lo0113,2679
PD45799b_lo0114,2679
PD45799b_lo0116,2679
PD45799b_lo0117,2679
PD45799b_lo0120,2679
PD45799b_lo0121,2679
PD45799b_lo0122,2679
PD45799b_lo0126,2679
PD45799b_lo0127,2679
PD45799b_lo0128,2679
PD45799b_lo0130,2679
